dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
15.0mm,4,2,2.0mm,200.0kHz,4.5mm,7.0mm,1.9mm,4.0A,copper_lizt_c_2,234
12.0mm,2,1,2.5mm,300.0kHz,4.1mm,5.1mm,1.3mm,21.0A,copper_lizt_c_2.5,235
15.0mm,6,6,1.0mm,400.0kHz,6.5mm,6.0mm,3.3mm,10.0A,copper_lizt_c_1,236
13.0mm,6,3,1.0mm,100.0kHz,4.4mm,5.4mm,1.9mm,16.0A,copper_lizt_c_1,237
10.0mm,2,1,3.0mm,100.0kHz,3.5mm,3.0mm,2.1mm,30.0A,copper_lizt_c_3,238
15.5mm,1,4,2.0mm,300.0kHz,4.7mm,7.7mm,1.5mm,40.0A,copper_lizt_c_2,239
13.0mm,8,1,1.0mm,200.0kHz,4.9mm,5.4mm,2.5mm,14.0A,copper_lizt_c_1,240
16.0mm,5,5,1.5mm,400.0kHz,5.8mm,6.8mm,2.5mm,14.0A,copper_lizt_c_1.5,241
9.5mm,3,2,1.0mm,200.0kHz,4.4mm,2.9mm,1.9mm,29.0A,copper_lizt_c_1,242
14.5mm,4,1,2.0mm,300.0kHz,7.9mm,7.9mm,3.3mm,15.0A,copper_lizt_c_2,243
14.0mm,2,3,3.0mm,100.0kHz,6.2mm,7.7mm,3.1mm,44.0A,copper_lizt_c_3,244
12.5mm,1,4,1.5mm,400.0kHz,7.2mm,6.2mm,3.7mm,3.0A,copper_lizt_c_1.5,245
13.0mm,2,6,1.5mm,100.0kHz,3.9mm,6.4mm,3.5mm,5.0A,copper_lizt_c_1.5,246
15.5mm,2,7,1.0mm,400.0kHz,6.2mm,8.2mm,2.1mm,23.0A,copper_lizt_c_1,247
19.0mm,6,1,1.5mm,300.0kHz,8.2mm,7.2mm,3.1mm,14.0A,copper_lizt_c_1.5,248
13.5mm,3,1,1.5mm,100.0kHz,4.6mm,4.1mm,3.7mm,7.0A,copper_lizt_c_1.5,249
17.0mm,1,7,1.0mm,400.0kHz,8.1mm,8.1mm,3.9mm,9.0A,copper_lizt_c_1,250
6.0mm,1,2,3.0mm,300.0kHz,1.8mm,2.8mm,2.1mm,12.0A,copper_lizt_c_3,251
15.5mm,1,4,1.5mm,400.0kHz,6.7mm,8.2mm,1.1mm,6.0A,copper_lizt_c_1.5,252
11.5mm,2,1,2.5mm,300.0kHz,6.0mm,4.0mm,2.1mm,30.0A,copper_lizt_c_2.5,253
17.0mm,1,5,1.5mm,300.0kHz,5.1mm,5.1mm,0.1mm,4.0A,copper_lizt_c_1.5,254
15.0mm,3,1,1.0mm,100.0kHz,5.5mm,7.0mm,0.9mm,3.0A,copper_lizt_c_1,255
18.0mm,8,6,1.0mm,400.0kHz,5.4mm,7.9mm,1.3mm,1.0A,copper_lizt_c_1,256
11.5mm,5,6,1.5mm,100.0kHz,5.0mm,5.5mm,3.7mm,22.0A,copper_lizt_c_1.5,257
13.0mm,4,2,2.0mm,200.0kHz,6.4mm,5.9mm,2.9mm,35.0A,copper_lizt_c_2,258
15.5mm,2,2,1.5mm,100.0kHz,6.2mm,5.2mm,3.3mm,12.0A,copper_lizt_c_1.5,259
14.0mm,1,1,4.5mm,400.0kHz,6.7mm,4.7mm,3.3mm,8.0A,copper_lizt_c_4.5,260
12.5mm,2,1,3.0mm,200.0kHz,4.2mm,7.2mm,0.5mm,1.0A,copper_lizt_c_3,261
16.5mm,1,2,4.0mm,100.0kHz,7.0mm,8.0mm,0.5mm,47.0A,copper_lizt_c_4,262
12.0mm,4,2,2.0mm,400.0kHz,5.1mm,4.6mm,3.9mm,16.0A,copper_lizt_c_2,263
9.5mm,2,2,2.5mm,100.0kHz,4.4mm,5.9mm,2.3mm,48.0A,copper_lizt_c_2.5,264
14.5mm,2,1,1.5mm,400.0kHz,7.9mm,4.9mm,1.3mm,37.0A,copper_lizt_c_1.5,265
12.0mm,6,5,1.5mm,300.0kHz,7.1mm,6.1mm,2.9mm,8.0A,copper_lizt_c_1.5,266
19.0mm,1,2,3.0mm,200.0kHz,5.7mm,5.7mm,2.9mm,37.0A,copper_lizt_c_3,267
16.0mm,6,2,1.5mm,100.0kHz,5.8mm,5.3mm,1.7mm,8.0A,copper_lizt_c_1.5,268
13.5mm,1,1,2.5mm,200.0kHz,8.1mm,5.6mm,1.9mm,10.0A,copper_lizt_c_2.5,269
13.5mm,3,3,2.5mm,200.0kHz,8.1mm,7.1mm,1.3mm,3.0A,copper_lizt_c_2.5,270
15.5mm,7,5,1.0mm,100.0kHz,5.2mm,5.2mm,0.9mm,4.0A,copper_lizt_c_1,271
14.5mm,1,1,2.0mm,400.0kHz,7.4mm,4.4mm,3.5mm,45.0A,copper_lizt_c_2,272
16.0mm,5,6,1.0mm,200.0kHz,6.3mm,5.3mm,3.3mm,10.0A,copper_lizt_c_1,273
9.5mm,1,1,3.5mm,400.0kHz,5.4mm,3.4mm,1.5mm,17.0A,copper_lizt_c_3.5,274
11.0mm,7,3,1.0mm,200.0kHz,6.8mm,6.3mm,3.9mm,29.0A,copper_lizt_c_1,275
6.5mm,5,2,1.0mm,100.0kHz,2.0mm,4.0mm,2.5mm,41.0A,copper_lizt_c_1,276
14.0mm,1,6,1.5mm,100.0kHz,7.2mm,5.7mm,1.3mm,1.0A,copper_lizt_c_1.5,277
19.5mm,6,1,1.0mm,400.0kHz,7.4mm,7.9mm,1.1mm,28.0A,copper_lizt_c_1,278
6.0mm,2,2,3.0mm,200.0kHz,1.8mm,3.8mm,3.7mm,39.0A,copper_lizt_c_3,279
13.0mm,2,2,3.5mm,400.0kHz,5.9mm,6.4mm,3.1mm,19.0A,copper_lizt_c_3.5,280
12.0mm,4,6,1.0mm,400.0kHz,4.6mm,4.1mm,2.1mm,17.0A,copper_lizt_c_1,281
12.5mm,1,5,1.5mm,100.0kHz,5.7mm,4.2mm,1.9mm,36.0A,copper_lizt_c_1.5,282
12.0mm,1,3,3.0mm,400.0kHz,6.1mm,6.6mm,3.3mm,40.0A,copper_lizt_c_3,283
7.5mm,2,4,1.0mm,400.0kHz,2.8mm,4.2mm,1.3mm,10.0A,copper_lizt_c_1,284
7.0mm,1,4,1.0mm,400.0kHz,3.1mm,2.1mm,1.1mm,10.0A,copper_lizt_c_1,285
10.0mm,4,1,1.5mm,100.0kHz,6.0mm,5.5mm,2.7mm,41.0A,copper_lizt_c_1.5,286
14.0mm,4,2,1.0mm,100.0kHz,6.2mm,7.2mm,3.7mm,13.0A,copper_lizt_c_1,287
16.0mm,2,3,2.0mm,100.0kHz,6.3mm,7.8mm,0.5mm,3.0A,copper_lizt_c_2,288
7.5mm,7,2,1.0mm,200.0kHz,4.8mm,3.8mm,2.5mm,5.0A,copper_lizt_c_1,289
16.0mm,2,4,1.5mm,100.0kHz,5.8mm,4.8mm,1.3mm,8.0A,copper_lizt_c_1.5,290
15.5mm,5,1,1.5mm,100.0kHz,7.2mm,8.2mm,0.7mm,24.0A,copper_lizt_c_1.5,291
9.0mm,5,6,1.5mm,200.0kHz,5.2mm,3.7mm,1.9mm,4.0A,copper_lizt_c_1.5,292
15.0mm,1,1,4.0mm,100.0kHz,5.5mm,4.5mm,0.5mm,24.0A,copper_lizt_c_4,293
12.0mm,3,1,2.5mm,300.0kHz,7.1mm,4.6mm,2.9mm,26.0A,copper_lizt_c_2.5,294
16.0mm,1,3,2.0mm,300.0kHz,6.8mm,6.3mm,2.3mm,17.0A,copper_lizt_c_2,295
14.0mm,2,7,1.0mm,200.0kHz,5.7mm,4.2mm,0.9mm,8.0A,copper_lizt_c_1,296
8.5mm,2,3,2.0mm,300.0kHz,5.1mm,4.6mm,1.9mm,30.0A,copper_lizt_c_2,297
15.0mm,1,5,1.5mm,100.0kHz,6.0mm,7.5mm,3.9mm,19.0A,copper_lizt_c_1.5,298
12.5mm,2,7,1.0mm,400.0kHz,5.7mm,4.8mm,2.5mm,11.0A,copper_lizt_c_1,299
9.5mm,2,3,1.5mm,200.0kHz,4.9mm,5.9mm,0.7mm,20.0A,copper_lizt_c_1.5,300
16.0mm,5,1,1.5mm,100.0kHz,5.3mm,6.3mm,1.3mm,43.0A,copper_lizt_c_1.5,301
13.0mm,2,2,1.5mm,300.0kHz,5.4mm,6.4mm,0.9mm,4.0A,copper_lizt_c_1.5,302
12.0mm,1,3,3.0mm,100.0kHz,3.6mm,4.1mm,3.3mm,4.0A,copper_lizt_c_3,303
16.5mm,2,1,3.0mm,300.0kHz,7.0mm,7.5mm,0.7mm,15.0A,copper_lizt_c_3,304
8.0mm,2,2,2.0mm,300.0kHz,4.9mm,2.9mm,2.5mm,27.0A,copper_lizt_c_2,305
7.0mm,3,1,3.0mm,100.0kHz,3.1mm,2.1mm,1.3mm,13.0A,copper_lizt_c_3,306
12.5mm,2,2,1.0mm,200.0kHz,3.8mm,4.2mm,2.3mm,48.0A,copper_lizt_c_1,307
12.0mm,3,3,2.0mm,400.0kHz,4.6mm,4.1mm,2.9mm,37.0A,copper_lizt_c_2,308
16.5mm,1,7,1.0mm,200.0kHz,5.5mm,7.0mm,0.9mm,16.0A,copper_lizt_c_1,309
14.0mm,2,4,1.0mm,400.0kHz,7.2mm,7.7mm,1.3mm,5.0A,copper_lizt_c_1,310
9.5mm,1,9,1.0mm,100.0kHz,5.4mm,5.4mm,1.5mm,12.0A,copper_lizt_c_1,311
7.0mm,6,3,1.5mm,400.0kHz,3.6mm,3.1mm,3.7mm,29.0A,copper_lizt_c_1.5,312
6.0mm,1,2,1.0mm,100.0kHz,2.3mm,3.3mm,2.7mm,38.0A,copper_lizt_c_1,313
9.5mm,4,3,2.0mm,200.0kHz,2.9mm,5.4mm,3.7mm,37.0A,copper_lizt_c_2,314
16.0mm,2,2,2.0mm,100.0kHz,4.8mm,7.8mm,0.5mm,10.0A,copper_lizt_c_2,315
15.5mm,4,4,2.0mm,300.0kHz,5.7mm,4.7mm,3.3mm,31.0A,copper_lizt_c_2,316
11.5mm,3,2,2.5mm,100.0kHz,5.5mm,4.5mm,1.9mm,5.0A,copper_lizt_c_2.5,317
11.5mm,2,1,4.0mm,200.0kHz,4.5mm,4.5mm,1.9mm,47.0A,copper_lizt_c_4,318
13.5mm,5,4,1.5mm,200.0kHz,6.1mm,8.1mm,2.7mm,10.0A,copper_lizt_c_1.5,319
8.5mm,1,5,1.5mm,100.0kHz,5.1mm,5.1mm,2.7mm,27.0A,copper_lizt_c_1.5,320
15.5mm,7,1,1.0mm,100.0kHz,7.7mm,5.2mm,2.9mm,25.0A,copper_lizt_c_1,321
15.0mm,4,3,1.5mm,200.0kHz,4.5mm,5.5mm,1.7mm,5.0A,copper_lizt_c_1.5,322
15.0mm,5,5,1.5mm,400.0kHz,7.0mm,6.0mm,3.7mm,2.0A,copper_lizt_c_1.5,323
11.0mm,6,7,1.0mm,300.0kHz,4.8mm,3.3mm,2.3mm,4.0A,copper_lizt_c_1,324
12.0mm,1,6,1.5mm,200.0kHz,3.6mm,6.6mm,2.5mm,16.0A,copper_lizt_c_1.5,325
17.5mm,1,2,1.0mm,400.0kHz,5.8mm,5.3mm,3.3mm,32.0A,copper_lizt_c_1,326
12.5mm,4,1,1.5mm,100.0kHz,5.7mm,4.8mm,3.9mm,38.0A,copper_lizt_c_1.5,327
8.5mm,7,2,1.0mm,100.0kHz,3.1mm,4.1mm,1.9mm,30.0A,copper_lizt_c_1,328
12.0mm,3,1,3.0mm,400.0kHz,3.6mm,5.6mm,0.9mm,4.0A,copper_lizt_c_3,329
11.0mm,2,2,3.5mm,200.0kHz,5.8mm,4.8mm,2.5mm,37.0A,copper_lizt_c_3.5,330
14.5mm,3,1,3.0mm,200.0kHz,7.4mm,7.4mm,2.7mm,21.0A,copper_lizt_c_3,331
10.5mm,3,5,1.5mm,300.0kHz,5.7mm,4.7mm,1.9mm,14.0A,copper_lizt_c_1.5,332
12.5mm,1,1,1.5mm,200.0kHz,6.2mm,3.8mm,2.7mm,39.0A,copper_lizt_c_1.5,333
11.5mm,4,7,1.0mm,400.0kHz,6.5mm,5.0mm,3.3mm,10.0A,copper_lizt_c_1,334
9.0mm,4,2,2.0mm,100.0kHz,4.2mm,3.2mm,3.9mm,11.0A,copper_lizt_c_2,335
15.5mm,1,4,1.0mm,300.0kHz,5.2mm,7.2mm,2.7mm,32.0A,copper_lizt_c_1,336
10.0mm,9,1,1.0mm,200.0kHz,5.0mm,6.0mm,2.1mm,19.0A,copper_lizt_c_1,337
15.5mm,3,1,2.0mm,300.0kHz,6.2mm,4.7mm,0.9mm,18.0A,copper_lizt_c_2,338
16.0mm,1,1,1.0mm,300.0kHz,7.8mm,7.8mm,3.7mm,46.0A,copper_lizt_c_1,339
8.5mm,4,3,2.0mm,400.0kHz,4.6mm,3.1mm,3.7mm,42.0A,copper_lizt_c_2,340
14.0mm,7,7,1.0mm,300.0kHz,6.7mm,8.2mm,2.3mm,1.0A,copper_lizt_c_1,341
13.0mm,2,2,2.5mm,100.0kHz,5.9mm,6.9mm,3.9mm,12.0A,copper_lizt_c_2.5,342
8.0mm,1,2,1.5mm,200.0kHz,4.4mm,2.9mm,3.7mm,4.0A,copper_lizt_c_1.5,343
9.5mm,2,1,4.5mm,400.0kHz,5.4mm,5.9mm,1.7mm,11.0A,copper_lizt_c_4.5,344
9.0mm,5,2,1.0mm,100.0kHz,5.2mm,4.2mm,2.1mm,5.0A,copper_lizt_c_1,345
16.0mm,5,1,1.5mm,200.0kHz,5.3mm,7.3mm,2.5mm,22.0A,copper_lizt_c_1.5,346
9.5mm,1,6,1.0mm,400.0kHz,5.9mm,4.4mm,2.1mm,40.0A,copper_lizt_c_1,347
18.0mm,2,4,2.0mm,200.0kHz,6.4mm,6.9mm,1.3mm,32.0A,copper_lizt_c_2,348
17.0mm,2,2,2.0mm,100.0kHz,8.1mm,5.1mm,0.7mm,1.0A,copper_lizt_c_2,349
15.5mm,5,3,1.5mm,200.0kHz,5.2mm,6.7mm,0.7mm,4.0A,copper_lizt_c_1.5,350
14.0mm,4,2,1.5mm,300.0kHz,7.2mm,7.7mm,3.3mm,33.0A,copper_lizt_c_1.5,351
12.5mm,1,7,1.0mm,300.0kHz,4.2mm,4.2mm,1.1mm,1.0A,copper_lizt_c_1,352
7.5mm,1,1,3.5mm,100.0kHz,4.8mm,2.3mm,1.7mm,1.0A,copper_lizt_c_3.5,353
10.5mm,2,3,2.5mm,300.0kHz,4.2mm,4.7mm,1.5mm,38.0A,copper_lizt_c_2.5,354
15.0mm,5,5,1.5mm,100.0kHz,6.0mm,6.5mm,1.7mm,16.0A,copper_lizt_c_1.5,355
11.5mm,3,8,1.0mm,100.0kHz,7.0mm,6.5mm,3.5mm,28.0A,copper_lizt_c_1,356
18.5mm,3,2,1.5mm,300.0kHz,8.1mm,7.1mm,0.7mm,3.0A,copper_lizt_c_1.5,357
10.0mm,4,2,1.5mm,400.0kHz,5.0mm,4.5mm,1.1mm,30.0A,copper_lizt_c_1.5,358
14.0mm,2,2,4.5mm,100.0kHz,5.7mm,4.2mm,1.7mm,32.0A,copper_lizt_c_4.5,359
12.0mm,1,5,1.5mm,400.0kHz,5.6mm,7.1mm,2.9mm,25.0A,copper_lizt_c_1.5,360
15.0mm,1,2,4.0mm,100.0kHz,6.5mm,7.5mm,3.1mm,43.0A,copper_lizt_c_4,361
19.0mm,1,4,2.0mm,400.0kHz,5.7mm,6.2mm,3.3mm,23.0A,copper_lizt_c_2,362
15.5mm,2,8,1.0mm,300.0kHz,7.2mm,5.7mm,3.9mm,42.0A,copper_lizt_c_1,363
6.5mm,4,2,1.5mm,400.0kHz,3.5mm,2.0mm,2.7mm,40.0A,copper_lizt_c_1.5,364
12.0mm,2,9,1.0mm,400.0kHz,4.1mm,6.1mm,2.1mm,18.0A,copper_lizt_c_1,365
8.5mm,2,1,3.5mm,300.0kHz,4.6mm,3.1mm,2.3mm,16.0A,copper_lizt_c_3.5,366
12.5mm,3,2,2.0mm,400.0kHz,3.8mm,3.8mm,1.9mm,25.0A,copper_lizt_c_2,367
17.0mm,9,6,1.0mm,400.0kHz,5.6mm,6.1mm,1.5mm,6.0A,copper_lizt_c_1,368
11.5mm,1,1,1.0mm,100.0kHz,5.5mm,7.0mm,3.5mm,7.0A,copper_lizt_c_1,369
5.0mm,1,2,1.0mm,400.0kHz,3.0mm,2.0mm,2.7mm,49.0A,copper_lizt_c_1,370
16.5mm,1,5,1.0mm,200.0kHz,6.5mm,8.0mm,2.1mm,14.0A,copper_lizt_c_1,371
11.0mm,1,1,2.0mm,400.0kHz,6.8mm,4.8mm,3.9mm,38.0A,copper_lizt_c_2,372
11.5mm,1,1,3.0mm,200.0kHz,3.5mm,7.0mm,1.7mm,48.0A,copper_lizt_c_3,373
11.0mm,1,5,1.5mm,200.0kHz,4.8mm,4.3mm,0.9mm,34.0A,copper_lizt_c_1.5,374
14.5mm,7,3,1.0mm,300.0kHz,4.4mm,5.4mm,1.9mm,12.0A,copper_lizt_c_1,375
13.5mm,9,5,1.0mm,400.0kHz,7.6mm,8.1mm,3.9mm,16.0A,copper_lizt_c_1,376
16.5mm,9,5,1.0mm,200.0kHz,5.0mm,5.0mm,2.1mm,10.0A,copper_lizt_c_1,377
13.5mm,4,9,1.0mm,400.0kHz,7.6mm,4.6mm,2.7mm,1.0A,copper_lizt_c_1,378
10.0mm,8,1,1.0mm,200.0kHz,3.0mm,3.0mm,1.5mm,39.0A,copper_lizt_c_1,379
10.0mm,3,7,1.0mm,400.0kHz,5.5mm,3.5mm,2.3mm,10.0A,copper_lizt_c_1,380
12.0mm,1,3,3.0mm,200.0kHz,6.1mm,6.1mm,1.9mm,13.0A,copper_lizt_c_3,381
13.5mm,1,9,1.0mm,100.0kHz,4.6mm,5.1mm,0.9mm,14.0A,copper_lizt_c_1,382
17.5mm,1,3,2.0mm,200.0kHz,7.3mm,5.8mm,2.1mm,29.0A,copper_lizt_c_2,383
6.5mm,1,7,1.0mm,100.0kHz,2.5mm,3.0mm,3.3mm,33.0A,copper_lizt_c_1,384
13.0mm,1,6,1.0mm,100.0kHz,5.9mm,3.9mm,2.1mm,23.0A,copper_lizt_c_1,385
15.5mm,2,9,1.0mm,200.0kHz,6.2mm,8.2mm,3.1mm,41.0A,copper_lizt_c_1,386
10.5mm,4,2,1.0mm,200.0kHz,3.2mm,5.7mm,1.5mm,42.0A,copper_lizt_c_1,387
15.0mm,1,3,2.0mm,200.0kHz,6.5mm,5.5mm,1.9mm,32.0A,copper_lizt_c_2,388
8.0mm,3,5,1.5mm,300.0kHz,3.9mm,4.4mm,3.7mm,29.0A,copper_lizt_c_1.5,389
13.5mm,1,1,2.5mm,200.0kHz,7.6mm,6.1mm,1.3mm,12.0A,copper_lizt_c_2.5,390
9.0mm,4,6,1.5mm,100.0kHz,4.7mm,3.2mm,3.3mm,10.0A,copper_lizt_c_1.5,391
9.0mm,3,6,1.0mm,100.0kHz,3.7mm,5.2mm,1.1mm,10.0A,copper_lizt_c_1,392
13.0mm,3,2,2.5mm,100.0kHz,4.9mm,5.4mm,2.9mm,9.0A,copper_lizt_c_2.5,393
7.5mm,2,2,1.0mm,200.0kHz,4.2mm,2.3mm,0.1mm,3.0A,copper_lizt_c_1,394
12.5mm,6,3,1.5mm,100.0kHz,6.2mm,5.7mm,2.3mm,24.0A,copper_lizt_c_1.5,395
16.0mm,2,3,2.0mm,200.0kHz,5.3mm,4.8mm,3.5mm,17.0A,copper_lizt_c_2,396
8.5mm,7,2,1.0mm,300.0kHz,4.1mm,4.1mm,1.5mm,1.0A,copper_lizt_c_1,397
14.0mm,2,9,1.0mm,200.0kHz,7.2mm,5.2mm,3.5mm,43.0A,copper_lizt_c_1,398
12.0mm,6,7,1.0mm,100.0kHz,4.1mm,7.1mm,1.7mm,2.0A,copper_lizt_c_1,399
16.0mm,3,1,2.0mm,100.0kHz,6.8mm,6.8mm,1.7mm,46.0A,copper_lizt_c_2,400
7.5mm,3,3,2.0mm,100.0kHz,4.2mm,3.8mm,1.9mm,40.0A,copper_lizt_c_2,401
13.5mm,1,7,1.0mm,300.0kHz,6.1mm,4.1mm,2.3mm,40.0A,copper_lizt_c_1,402
15.5mm,1,1,1.5mm,200.0kHz,7.7mm,5.7mm,1.5mm,41.0A,copper_lizt_c_1.5,403
13.0mm,2,2,3.5mm,300.0kHz,3.9mm,6.9mm,3.5mm,3.0A,copper_lizt_c_3.5,404
11.5mm,1,1,1.0mm,300.0kHz,3.5mm,5.5mm,2.1mm,41.0A,copper_lizt_c_1,405
16.0mm,2,2,1.0mm,400.0kHz,6.8mm,6.3mm,3.9mm,7.0A,copper_lizt_c_1,406
15.5mm,2,2,4.5mm,200.0kHz,5.7mm,7.7mm,1.3mm,10.0A,copper_lizt_c_4.5,407
9.0mm,6,3,1.5mm,200.0kHz,2.7mm,3.7mm,2.5mm,1.0A,copper_lizt_c_1.5,408
8.5mm,2,3,1.0mm,300.0kHz,3.1mm,4.6mm,3.3mm,39.0A,copper_lizt_c_1,409
13.5mm,2,2,2.5mm,100.0kHz,6.1mm,5.6mm,2.1mm,20.0A,copper_lizt_c_2.5,410
13.0mm,7,2,1.0mm,200.0kHz,4.4mm,5.4mm,3.5mm,26.0A,copper_lizt_c_1,411
12.5mm,1,1,3.5mm,200.0kHz,5.2mm,4.8mm,2.5mm,5.0A,copper_lizt_c_3.5,412
12.5mm,1,4,2.0mm,100.0kHz,4.2mm,5.2mm,0.9mm,1.0A,copper_lizt_c_2,413
14.0mm,4,3,1.0mm,100.0kHz,7.7mm,6.2mm,3.3mm,47.0A,copper_lizt_c_1,414
11.5mm,2,2,1.0mm,200.0kHz,3.5mm,5.0mm,1.9mm,29.0A,copper_lizt_c_1,415
10.5mm,1,5,1.5mm,400.0kHz,4.2mm,3.7mm,1.7mm,19.0A,copper_lizt_c_1.5,416
14.5mm,1,2,2.5mm,300.0kHz,4.4mm,6.9mm,2.1mm,48.0A,copper_lizt_c_2.5,417
14.5mm,3,9,1.0mm,200.0kHz,6.4mm,7.4mm,3.7mm,9.0A,copper_lizt_c_1,418
15.5mm,4,1,2.0mm,100.0kHz,7.7mm,6.2mm,3.1mm,19.0A,copper_lizt_c_2,419
8.5mm,7,9,1.0mm,400.0kHz,4.1mm,4.6mm,1.7mm,4.0A,copper_lizt_c_1,420
12.5mm,1,2,2.0mm,400.0kHz,6.2mm,6.2mm,3.7mm,29.0A,copper_lizt_c_2,421
8.0mm,1,3,1.0mm,300.0kHz,3.9mm,4.9mm,1.7mm,14.0A,copper_lizt_c_1,422
19.0mm,7,3,1.0mm,300.0kHz,7.2mm,6.7mm,3.9mm,20.0A,copper_lizt_c_1,423
6.0mm,2,4,2.0mm,300.0kHz,2.3mm,2.3mm,3.7mm,2.0A,copper_lizt_c_2,424
12.0mm,1,4,1.5mm,300.0kHz,3.6mm,3.6mm,3.9mm,41.0A,copper_lizt_c_1.5,425
13.0mm,5,2,1.0mm,100.0kHz,3.9mm,5.9mm,3.7mm,17.0A,copper_lizt_c_1,426
17.0mm,2,5,1.0mm,300.0kHz,7.1mm,5.1mm,2.7mm,37.0A,copper_lizt_c_1,427
16.5mm,4,6,1.0mm,400.0kHz,7.5mm,5.0mm,3.5mm,20.0A,copper_lizt_c_1,428
11.5mm,1,1,4.5mm,200.0kHz,4.5mm,4.5mm,1.1mm,46.0A,copper_lizt_c_4.5,429
15.5mm,3,1,3.0mm,100.0kHz,5.2mm,8.2mm,2.5mm,35.0A,copper_lizt_c_3,430
16.0mm,1,2,3.0mm,400.0kHz,5.3mm,5.3mm,1.7mm,31.0A,copper_lizt_c_3,431
19.5mm,3,4,1.5mm,300.0kHz,6.9mm,7.4mm,1.7mm,22.0A,copper_lizt_c_1.5,432
17.0mm,2,3,1.5mm,300.0kHz,5.6mm,5.6mm,2.7mm,45.0A,copper_lizt_c_1.5,433
11.0mm,2,6,1.5mm,200.0kHz,3.3mm,6.8mm,2.3mm,34.0A,copper_lizt_c_1.5,434
12.5mm,5,2,1.5mm,400.0kHz,6.2mm,6.7mm,3.7mm,22.0A,copper_lizt_c_1.5,435
19.0mm,6,2,1.5mm,400.0kHz,6.7mm,6.7mm,1.3mm,18.0A,copper_lizt_c_1.5,436
16.5mm,8,3,1.0mm,300.0kHz,6.0mm,7.5mm,3.3mm,18.0A,copper_lizt_c_1,437
18.0mm,3,1,3.0mm,300.0kHz,7.9mm,7.9mm,3.3mm,12.0A,copper_lizt_c_3,438
9.0mm,5,4,1.5mm,200.0kHz,5.2mm,5.2mm,1.9mm,5.0A,copper_lizt_c_1.5,439
16.0mm,6,3,1.5mm,400.0kHz,5.8mm,7.3mm,1.9mm,16.0A,copper_lizt_c_1.5,440
17.0mm,2,2,2.0mm,200.0kHz,8.1mm,5.1mm,0.1mm,2.0A,copper_lizt_c_2,441
15.0mm,4,5,1.0mm,400.0kHz,7.0mm,7.5mm,3.7mm,33.0A,copper_lizt_c_1,442
14.5mm,1,1,3.5mm,100.0kHz,5.9mm,6.9mm,3.1mm,37.0A,copper_lizt_c_3.5,443
13.5mm,1,1,1.5mm,200.0kHz,5.1mm,6.6mm,2.3mm,7.0A,copper_lizt_c_1.5,444
18.5mm,4,4,1.5mm,300.0kHz,6.6mm,8.1mm,3.7mm,34.0A,copper_lizt_c_1.5,445
19.0mm,5,4,1.0mm,200.0kHz,6.2mm,6.7mm,2.9mm,6.0A,copper_lizt_c_1,446
7.5mm,1,9,1.0mm,300.0kHz,2.8mm,2.3mm,3.5mm,23.0A,copper_lizt_c_1,447
6.5mm,4,2,1.5mm,100.0kHz,2.5mm,3.0mm,3.1mm,31.0A,copper_lizt_c_1.5,448
8.0mm,9,8,1.0mm,200.0kHz,2.4mm,4.4mm,2.5mm,5.0A,copper_lizt_c_1,449
14.0mm,2,1,2.5mm,400.0kHz,4.2mm,5.2mm,0.7mm,1.0A,copper_lizt_c_2.5,450
14.0mm,1,1,1.0mm,400.0kHz,7.7mm,6.7mm,3.3mm,2.0A,copper_lizt_c_1,451
13.5mm,4,1,2.0mm,300.0kHz,5.1mm,4.6mm,3.3mm,22.0A,copper_lizt_c_2,452
13.5mm,1,1,1.5mm,400.0kHz,5.6mm,5.6mm,1.9mm,18.0A,copper_lizt_c_1.5,453
7.5mm,3,3,3.0mm,300.0kHz,3.8mm,2.3mm,2.1mm,31.0A,copper_lizt_c_3,454
9.5mm,4,2,1.5mm,400.0kHz,5.9mm,4.9mm,2.7mm,44.0A,copper_lizt_c_1.5,455
7.5mm,5,5,1.0mm,100.0kHz,2.8mm,3.8mm,3.3mm,5.0A,copper_lizt_c_1,456
9.5mm,1,1,4.0mm,400.0kHz,3.4mm,5.4mm,2.7mm,33.0A,copper_lizt_c_4,457
19.0mm,2,6,1.5mm,300.0kHz,5.7mm,7.7mm,2.7mm,46.0A,copper_lizt_c_1.5,458
13.5mm,9,1,1.0mm,100.0kHz,4.1mm,5.6mm,2.5mm,16.0A,copper_lizt_c_1,459
11.5mm,4,3,1.0mm,300.0kHz,4.0mm,6.0mm,2.5mm,30.0A,copper_lizt_c_1,460
14.0mm,1,2,3.0mm,200.0kHz,4.7mm,8.2mm,1.9mm,27.0A,copper_lizt_c_3,461
7.0mm,1,9,1.0mm,100.0kHz,4.1mm,3.1mm,3.9mm,25.0A,copper_lizt_c_1,462
13.5mm,2,2,4.5mm,200.0kHz,4.6mm,7.1mm,2.1mm,28.0A,copper_lizt_c_4.5,463
9.0mm,6,1,1.5mm,400.0kHz,4.7mm,4.7mm,3.1mm,23.0A,copper_lizt_c_1.5,464
12.0mm,1,3,2.0mm,300.0kHz,6.6mm,4.1mm,0.7mm,3.0A,copper_lizt_c_2,465
14.5mm,2,7,1.0mm,300.0kHz,7.9mm,7.4mm,2.1mm,12.0A,copper_lizt_c_1,466
